628.87,641.92,13.048,0
792.52,806.69,14.169,0
849.2,860.97,11.77,0
903.67,916.43,12.766,0
1005.9,1016.5,10.581,1
1135.9,1168.2,32.353,0
1205.4,1215.9,10.51,1
1305.2,1318,12.839,1
1404.9,1423.7,18.827,1
1501.2,1514.1,12.931,0
1604.4,1619,14.598,1
1704.2,1723.2,19.029,1
1803.9,1819.1,15.2,1
1903.7,1921,17.307,1
1999.5,2036.7,37.214,0
2103.2,2117.6,14.374,1
2201.3,2222.7,21.394,0
2302.7,2328.5,25.788,1
2402.4,2415.8,13.329,1
2502.2,2519.4,17.232,1
2601.9,2623.3,21.359,1
2701.7,2728.6,26.914,1
2801.4,2817.8,16.366,1
2901.2,2930.9,29.666,1
3001,3026.2,25.209,1
3100.7,3126.6,25.852,1
3200.5,3229.8,29.364,1
3285.1,3300.7,15.654,0
3383.5,3410.5,27.001,0
3459.4,3472.3,12.896,0
3561.9,3589.7,27.786,0
3684.1,3705.3,21.206,0
3770.3,3798.8,28.419,0
3864.2,3894.3,30.155,0
3979.5,4002.3,22.856,0
